Index,Cancer,Drug,Gene,Raw P value,Link
1,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,DEFB115,6.11E-12,LINK
2,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,DEFB116,6.11E-12,LINK
3,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,RNA5SP480,6.11E-12,LINK
4,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,DEFB118,6.11E-12,LINK
5,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,DEFB119,6.11E-12,LINK
6,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,SNORA40|ENSG00000212134.1,6.11E-12,LINK
7,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,DEFB121,6.11E-12,LINK
8,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,DEFB122,6.11E-12,LINK
9,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,DEFB123,6.11E-12,LINK
10,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,DEFB124,6.11E-12,LINK
11,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,REM1,6.11E-12,LINK
12,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,LINC00028,6.11E-12,LINK
13,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,HM13,6.11E-12,LINK
14,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,ID1,6.11E-12,LINK
15,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,MIR3193,6.11E-12,LINK
16,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,COX4I2,6.11E-12,LINK
17,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,BCL2L1,6.11E-12,LINK
18,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,TPX2,6.11E-12,LINK
19,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,MYLK2,6.11E-12,LINK
20,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,FOXS1,6.11E-12,LINK
21,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,DUSP15,6.11E-12,LINK
22,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,TTLL9,6.11E-12,LINK
23,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,PDRG1,6.11E-12,LINK
24,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,XKR7,6.11E-12,LINK
25,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,RNA5SP481,6.11E-12,LINK
26,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,CCM2L,6.11E-12,LINK
27,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,HCK,6.11E-12,LINK
28,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,RNA5SP482,6.11E-12,LINK
29,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,TM9SF4,6.11E-12,LINK
30,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,TSPY26P,6.11E-12,LINK
31,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,PLAGL2,6.11E-12,LINK
32,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,POFUT1,6.11E-12,LINK
33,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,MIR1825,6.11E-12,LINK
34,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,KIF3B,6.11E-12,LINK
35,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,ASXL1,6.11E-12,LINK
36,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,C20orf112,6.11E-12,LINK
37,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,BPIFA3,6.11E-12,LINK
38,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,BPIFA1,6.11E-12,LINK
39,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,BPIFB1,6.11E-12,LINK
40,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,CDK5RAP1,6.11E-12,LINK
41,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,SNTA1,6.11E-12,LINK
42,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,RN7SL511P,6.11E-12,LINK
43,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,CBFA2T2,6.11E-12,LINK
44,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,NECAB3,6.11E-12,LINK
45,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,C20orf144,6.11E-12,LINK
46,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,ACTL10,6.11E-12,LINK
47,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,E2F1,6.11E-12,LINK
48,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,PXMP4,6.11E-12,LINK
49,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,ZNF341,6.11E-12,LINK
50,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,CHMP4B,6.11E-12,LINK
51,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,RALY,6.11E-12,LINK
52,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,MIR4755,6.11E-12,LINK
53,Cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC),Cisplatin,EIF2S2,6.11E-12,LINK
54,Ovarian serous cystadenocarcinoma (OV),Cisplatin,SEC31A,2.13E-07,LINK
55,Ovarian serous cystadenocarcinoma (OV),Cisplatin,THAP9,2.13E-07,LINK
56,Ovarian serous cystadenocarcinoma (OV),Cisplatin,LIN54,2.13E-07,LINK
57,Ovarian serous cystadenocarcinoma (OV),Cisplatin,snoR442|ENSG00000252834.1,2.13E-07,LINK
58,Ovarian serous cystadenocarcinoma (OV),Cisplatin,COPS4,2.13E-07,LINK
59,Ovarian serous cystadenocarcinoma (OV),Cisplatin,PLAC8,2.13E-07,LINK
60,Ovarian serous cystadenocarcinoma (OV),Cisplatin,COQ2,2.13E-07,LINK
61,Ovarian serous cystadenocarcinoma (OV),Cisplatin,HPSE,2.13E-07,LINK
62,Ovarian serous cystadenocarcinoma (OV),Cisplatin,AGPAT9,2.53E-07,LINK
63,Lung adenocarcinoma (LUAD),Cisplatin,MIR4739,6.20E-07,LINK
64,Lung adenocarcinoma (LUAD),Cisplatin,snoU13|ENSG00000239173.1,6.20E-07,LINK
65,Lung adenocarcinoma (LUAD),Cisplatin,ENPP7,6.20E-07,LINK
66,Lung adenocarcinoma (LUAD),Cisplatin,CBX2,6.20E-07,LINK
67,Lung adenocarcinoma (LUAD),Cisplatin,CBX8,6.20E-07,LINK
68,Lung adenocarcinoma (LUAD),Cisplatin,CBX4,6.20E-07,LINK
69,Lung adenocarcinoma (LUAD),Cisplatin,CDR2L,7.07E-07,LINK
70,Lung adenocarcinoma (LUAD),Cisplatin,ICT1,7.07E-07,LINK
71,Lung adenocarcinoma (LUAD),Cisplatin,KCTD2,7.07E-07,LINK
72,Lung adenocarcinoma (LUAD),Cisplatin,ATP5H,7.07E-07,LINK
73,Lung adenocarcinoma (LUAD),Cisplatin,RN7SL573P,7.07E-07,LINK
74,Lung adenocarcinoma (LUAD),Cisplatin,SLC16A5,7.07E-07,LINK
75,Lung adenocarcinoma (LUAD),Cisplatin,ARMC7,7.07E-07,LINK
76,Lung adenocarcinoma (LUAD),Cisplatin,HN1,7.07E-07,LINK
77,Lung adenocarcinoma (LUAD),Cisplatin,NT5C,7.07E-07,LINK
78,Lung adenocarcinoma (LUAD),Cisplatin,SUMO2,7.07E-07,LINK
79,Lung adenocarcinoma (LUAD),Cisplatin,NUP85,7.07E-07,LINK
80,Lung adenocarcinoma (LUAD),Cisplatin,GGA3,7.07E-07,LINK
81,Lung adenocarcinoma (LUAD),Cisplatin,MRPS7,7.07E-07,LINK
82,Lung adenocarcinoma (LUAD),Cisplatin,MIF4GD,7.07E-07,LINK
83,Lung adenocarcinoma (LUAD),Cisplatin,SLC25A19,7.07E-07,LINK
84,Lung adenocarcinoma (LUAD),Cisplatin,GRIN2C,7.12E-07,LINK
85,Lung adenocarcinoma (LUAD),Cisplatin,FDXR,7.12E-07,LINK
86,Lung adenocarcinoma (LUAD),Cisplatin,FADS6,7.12E-07,LINK
87,Lung adenocarcinoma (LUAD),Cisplatin,USH1G,7.12E-07,LINK
88,Lung adenocarcinoma (LUAD),Cisplatin,OTOP2,7.12E-07,LINK
89,Lung adenocarcinoma (LUAD),Cisplatin,OTOP3,7.12E-07,LINK
90,Lung adenocarcinoma (LUAD),Cisplatin,HID1,7.12E-07,LINK
91,Ovarian serous cystadenocarcinoma (OV),Cisplatin,HELQ,7.16E-07,LINK
92,Ovarian serous cystadenocarcinoma (OV),Cisplatin,MRPS18C,7.16E-07,LINK
93,Ovarian serous cystadenocarcinoma (OV),Cisplatin,FAM175A,7.16E-07,LINK
94,Lung adenocarcinoma (LUAD),Cisplatin,GRB2,7.27E-07,LINK
95,Lung adenocarcinoma (LUAD),Cisplatin,MIR3678,7.27E-07,LINK
96,Lung adenocarcinoma (LUAD),Cisplatin,KIAA0195,7.27E-07,LINK
97,Lung adenocarcinoma (LUAD),Cisplatin,CASKIN2,7.27E-07,LINK
98,Lung adenocarcinoma (LUAD),Cisplatin,TSEN54,7.27E-07,LINK
99,Lung adenocarcinoma (LUAD),Cisplatin,LLGL2,7.27E-07,LINK
100,Lung adenocarcinoma (LUAD),Cisplatin,MYO15B,7.27E-07,LINK
101,Lung adenocarcinoma (LUAD),Cisplatin,RECQL5,7.27E-07,LINK
102,Lung adenocarcinoma (LUAD),Cisplatin,SMIM5,7.27E-07,LINK
103,Lung adenocarcinoma (LUAD),Cisplatin,SMIM6,7.27E-07,LINK
104,Lung adenocarcinoma (LUAD),Cisplatin,SAP30BP,7.27E-07,LINK
105,Ovarian serous cystadenocarcinoma (OV),Cisplatin,TMEM150C,8.16E-07,LINK
106,Ovarian serous cystadenocarcinoma (OV),Cisplatin,LINC00575,8.16E-07,LINK
107,Ovarian serous cystadenocarcinoma (OV),Cisplatin,SCD5,8.16E-07,LINK
108,Ovarian serous cystadenocarcinoma (OV),Cisplatin,MIR575,8.16E-07,LINK
109,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,TNS3,1.03E-06,LINK
110,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,C7orf65,1.03E-06,LINK
111,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,HUS1,1.03E-06,LINK
112,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,LINC00525,1.03E-06,LINK
113,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,PKD1L1,1.03E-06,LINK
114,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,C7orf69,1.03E-06,LINK
115,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,SUN3,1.03E-06,LINK
116,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,C7orf57,1.03E-06,LINK
117,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,UPP1,1.03E-06,LINK
118,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,AQP1,2.83E-06,LINK
119,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,GHRHR,2.83E-06,LINK
120,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,ADCYAP1R1,2.83E-06,LINK
121,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,NEUROD6,2.83E-06,LINK
122,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,CCDC129,2.83E-06,LINK
123,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,PPP1R17,2.83E-06,LINK
124,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,LSM5,2.83E-06,LINK
125,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,MIR550A2,2.83E-06,LINK
126,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,SNORA31|ENSG00000251999.1,2.83E-06,LINK
127,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,KBTBD2,2.83E-06,LINK
128,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,RP9P,2.83E-06,LINK
129,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,NT5C3A,2.83E-06,LINK
130,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,RN7SL505P,2.83E-06,LINK
131,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,BBS9,2.83E-06,LINK
132,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,RP9,2.83E-06,LINK
133,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,snoU13|ENSG00000252706.1,2.83E-06,LINK
134,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,RNA5SP229,2.83E-06,LINK
135,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,BMPER,2.83E-06,LINK
136,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,NPSR1,2.83E-06,LINK
137,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,RN7SL132P,2.83E-06,LINK
138,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,SNORA31|ENSG00000251802.1,2.83E-06,LINK
139,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,DPY19L1,2.83E-06,LINK
140,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,MIR548N,2.83E-06,LINK
141,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,DPY19L2P1,2.83E-06,LINK
142,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,TBX20,2.83E-06,LINK
143,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,KIAA0895,2.83E-06,LINK
144,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,ANLN,2.83E-06,LINK
145,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,AOAH,2.83E-06,LINK
146,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,ELMO1,2.83E-06,LINK
147,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,MIR1200,2.83E-06,LINK
148,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,snoU13|ENSG00000238772.1,2.83E-06,LINK
149,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,SNORA51|ENSG00000200113.1,2.83E-06,LINK
150,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,EPDR1,2.83E-06,LINK
151,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,GPR141,2.83E-06,LINK
152,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,NME8,2.83E-06,LINK
153,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,SFRP4,2.83E-06,LINK
154,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,STARD3NL,2.83E-06,LINK
155,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,TRGC1,2.83E-06,LINK
156,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,TRGC2,2.83E-06,LINK
157,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,TRGJ1,2.83E-06,LINK
158,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,TRGJ2,2.83E-06,LINK
159,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,TRGJP1,2.83E-06,LINK
160,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,TRGJP2,2.83E-06,LINK
161,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,TRGJP,2.83E-06,LINK
162,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,TRGV10,2.83E-06,LINK
163,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,TRGV11,2.83E-06,LINK
164,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,TRGV1,2.83E-06,LINK
165,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,TRGV2,2.83E-06,LINK
166,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,TRGV3,2.83E-06,LINK
167,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,TRGV4,2.83E-06,LINK
168,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,TRGV5,2.83E-06,LINK
169,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,TRGV8,2.83E-06,LINK
170,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,TRGV9,2.83E-06,LINK
171,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,EPS15P1,3.87E-06,LINK
172,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,RN7SL496P,9.23E-06,LINK
173,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,CDK13,9.23E-06,LINK
174,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,MPLKIP,9.23E-06,LINK
175,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,INHBA,9.23E-06,LINK
176,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,GLI3,9.23E-06,LINK
177,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,C7orf25,9.23E-06,LINK
178,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,HECW1,9.23E-06,LINK
179,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,MIR3943,9.23E-06,LINK
180,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,MRPL32,9.23E-06,LINK
181,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,PSMA2,9.23E-06,LINK
182,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,STK17A,9.23E-06,LINK
183,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,COA1,9.23E-06,LINK
184,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,BLVRA,9.23E-06,LINK
185,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,MRPS24,9.23E-06,LINK
186,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,URGCP,9.23E-06,LINK
187,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,UBE2D4,9.23E-06,LINK
188,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,POLR2J4,9.23E-06,LINK
189,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,SPDYE1,9.23E-06,LINK
190,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,RASA4CP,9.23E-06,LINK
191,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,LINC00957,9.23E-06,LINK
192,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,DBNL,9.23E-06,LINK
193,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,PGAM2,9.23E-06,LINK
194,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,POLM,9.23E-06,LINK
195,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,AEBP1,9.23E-06,LINK
196,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,MIR4649,9.23E-06,LINK
197,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,POLD2,9.23E-06,LINK
198,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,RNA5SP230,9.23E-06,LINK
199,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,MYL7,9.23E-06,LINK
200,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,GCK,9.23E-06,LINK
201,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,YKT6,9.23E-06,LINK
202,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,CAMK2B,9.23E-06,LINK
203,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,NUDCD3,9.23E-06,LINK
204,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,NPC1L1,9.23E-06,LINK
205,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,DDX56,9.23E-06,LINK
206,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,TMED4,9.23E-06,LINK
207,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,OGDH,9.23E-06,LINK
208,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,ZMIZ2,9.23E-06,LINK
209,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,PPIA,9.23E-06,LINK
210,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,H2AFV,9.23E-06,LINK
211,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,PURB,9.23E-06,LINK
212,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,MIR4657,9.23E-06,LINK
213,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,MYO1G,9.23E-06,LINK
214,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,SNHG15,9.23E-06,LINK
215,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,CCM2,9.23E-06,LINK
216,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,NACAD,9.23E-06,LINK
217,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,TBRG4,9.23E-06,LINK
218,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,SNORA5A,9.23E-06,LINK
219,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,SNORA5B,9.23E-06,LINK
220,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,SNORA5C,9.23E-06,LINK
221,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,RAMP3,9.23E-06,LINK
222,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,ADCY1,9.23E-06,LINK
223,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,SEPT7P2,9.23E-06,LINK
224,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,IGFBP1,9.23E-06,LINK
225,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,IGFBP3,9.23E-06,LINK
226,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,AMPH,1.16E-05,LINK
227,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,RN7SL83P,1.16E-05,LINK
228,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,FAM183B,1.16E-05,LINK
229,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,VPS41,1.16E-05,LINK
230,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,POU6F2,1.16E-05,LINK
231,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,SNORA20|ENSG00000206947.1,1.16E-05,LINK
232,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,YAE1D1,1.16E-05,LINK
233,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,RALA,1.16E-05,LINK
234,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,LINC00265,1.16E-05,LINK
235,Mesothelioma (MESO),Cisplatin,GPLD1,1.51E-05,LINK
236,Mesothelioma (MESO),Cisplatin,ALDH5A1,1.61E-05,LINK
237,Mesothelioma (MESO),Cisplatin,KIAA0319,1.61E-05,LINK
238,Mesothelioma (MESO),Cisplatin,TDP2,1.61E-05,LINK
239,Mesothelioma (MESO),Cisplatin,ACOT13,1.61E-05,LINK
240,Mesothelioma (MESO),Cisplatin,C6orf62,1.61E-05,LINK
241,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,PDE1C,1.71E-05,LINK
242,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,HERPUD2,1.71E-05,LINK
243,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,SEPT7,1.71E-05,LINK
244,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,PP13004,1.71E-05,LINK
245,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,EEPD1,1.71E-05,LINK
245,Ovarian serous cystadenocarcinoma (OV),Cisplatin,RN7SKP48,1.40E-05,LINK
246,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,MRPS17,3.83E-05,LINK
247,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,ZNF713,3.83E-05,LINK
248,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,RN7SL64P,3.83E-05,LINK
249,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,GBAS,3.83E-05,LINK
250,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,PSPH,3.83E-05,LINK
251,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,FRMD4B,5.79E-05,LINK
252,Ovarian serous cystadenocarcinoma (OV),Cisplatin,snoU13|ENSG00000238652.1,6.33E-05,LINK
253,Ovarian serous cystadenocarcinoma (OV),Cisplatin,IBSP,6.33E-05,LINK
254,Ovarian serous cystadenocarcinoma (OV),Cisplatin,MEPE,6.33E-05,LINK
255,Ovarian serous cystadenocarcinoma (OV),Cisplatin,KLHL8,6.37E-05,LINK
256,Ovarian serous cystadenocarcinoma (OV),Cisplatin,MIR5705,6.37E-05,LINK
257,Ovarian serous cystadenocarcinoma (OV),Cisplatin,HSD17B13,6.37E-05,LINK
258,Ovarian serous cystadenocarcinoma (OV),Cisplatin,HSD17B11,6.37E-05,LINK
259,Ovarian serous cystadenocarcinoma (OV),Cisplatin,RN7SL681P,6.37E-05,LINK
260,Ovarian serous cystadenocarcinoma (OV),Cisplatin,NUDT9,6.37E-05,LINK
261,Ovarian serous cystadenocarcinoma (OV),Cisplatin,SLC10A6,6.45E-05,LINK
262,Ovarian serous cystadenocarcinoma (OV),Cisplatin,C4orf36,6.45E-05,LINK
263,Ovarian serous cystadenocarcinoma (OV),Cisplatin,AFF1,6.45E-05,LINK
264,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,IL5RA,7.00E-05,LINK
265,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,SNORA43|ENSG00000253049.1,7.00E-05,LINK
266,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,TRNT1,7.00E-05,LINK
267,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,CRBN,7.00E-05,LINK
268,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,LRRN1,7.00E-05,LINK
269,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,SETMAR,7.00E-05,LINK
270,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,ITPR1,7.00E-05,LINK
271,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,EGOT,7.00E-05,LINK
272,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,snoU13|ENSG00000239126.1,7.00E-05,LINK
273,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,BHLHE40,7.00E-05,LINK
274,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,ARL8B,7.00E-05,LINK
275,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,EDEM1,7.00E-05,LINK
276,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,MIR4790,7.00E-05,LINK
277,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,RN7SL553P,7.00E-05,LINK
278,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,GRM7,7.00E-05,LINK
279,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,RNU4ATAC17P,7.00E-05,LINK
280,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,LMCD1,7.00E-05,LINK
281,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,LINC00312,7.00E-05,LINK
282,Head and Neck squamous cell carcinoma (HNSC),Cisplatin,SSUH2,7.00E-05,LINK
